episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-3.8274,50,0,-3.8274,0.0,0.0,0.102,0.1
2,-0.045,1,1,-1.9362,1.8912,0.5,0.0026,0.1
3,-0.048,1,1,-1.3068,1.7823,0.6667,0.002,0.11
4,-4.9649,50,0,-2.2213,2.2117,0.5,0.101,0.21
5,-6.2406,50,0,-3.0252,2.5491,0.4,0.1103,0.32
6,-5.76,50,0,-3.481,2.5404,0.3333,0.1039,0.42
7,-3.1765,50,0,-3.4375,2.3544,0.2857,0.0894,0.51
8,-2.8894,50,0,-3.369,2.2098,0.25,0.0922,0.6
9,-3.3246,50,0,-3.3641,2.0834,0.2222,0.0956,0.7
10,-12.6401,50,0,-4.2917,3.4133,0.2,0.0871,0.79
11,-3.9898,50,0,-4.2642,3.2556,0.1818,0.1162,0.9
12,-3.2258,50,0,-4.1777,3.1302,0.1667,0.1003,1.0
13,-2.5353,50,0,-4.0513,3.0391,0.1538,0.0959,1.1
14,-6.0115,50,0,-4.1914,2.9717,0.1429,0.0974,1.2
15,-7.9379,50,0,-4.4411,3.0192,0.1333,0.0795,1.28
16,-3.9452,50,0,-4.4101,2.9258,0.125,0.0929,1.37
17,-9.0613,50,0,-4.6837,3.0421,0.1176,0.0903,1.46
18,-5.8065,50,0,-4.7461,2.9676,0.1111,0.0872,1.55
19,-3.0219,50,0,-4.6554,2.914,0.1053,0.0974,1.64
20,-3.7411,50,0,-4.6096,2.8472,0.1,0.099,1.74
21,-8.4143,50,0,-4.7908,2.8943,0.0952,0.1066,1.85
22,-4.1601,50,0,-4.7622,2.8308,0.0909,0.0865,1.94
23,-6.7086,50,0,-4.8468,2.7969,0.087,0.106,2.04
24,-4.1894,50,0,-4.8194,2.7412,0.0833,0.0774,2.12
25,-4.9672,50,0,-4.8253,2.6859,0.08,0.0778,2.2
26,-7.8493,50,0,-4.9416,2.6972,0.0769,0.1095,2.31
27,-16.2708,50,0,-5.3612,3.4034,0.0741,0.1201,2.43
28,-3.3349,50,0,-5.2888,3.3632,0.0714,0.0838,2.51
29,-4.0633,50,0,-5.2466,3.3122,0.069,0.1291,2.64
30,-20.147,50,0,-5.7433,4.2142,0.0667,0.1005,2.74
31,-5.4115,50,0,-5.7326,4.146,0.0645,0.1194,2.86
32,-3.7371,50,0,-5.6702,4.0955,0.0625,0.083,2.94
33,-2.9455,50,0,-5.5876,4.0599,0.0606,0.0771,3.02
34,-1.3518,14,1,-5.463,4.0633,0.0882,0.0319,3.05
35,-5.1556,50,0,-5.4543,4.0052,0.0857,0.0932,3.14
36,-0.0135,1,1,-5.3031,4.0491,0.1111,0.0042,3.15
37,-5.2308,50,0,-5.3012,3.994,0.1081,0.0976,3.25
38,-5.9429,50,0,-5.3181,3.9424,0.1053,0.1299,3.38
39,-5.206,50,0,-5.3152,3.8916,0.1026,0.1311,3.51
40,-0.0414,1,1,-5.1833,3.9299,0.125,0.0019,3.51
41,-7.3146,50,0,-5.2353,3.8956,0.122,0.122,3.63
42,-3.0226,50,0,-5.1826,3.8637,0.119,0.0898,3.72
43,-5.5712,50,0,-5.1917,3.8189,0.1163,0.0907,3.81
44,-3.9862,50,0,-5.1643,3.7795,0.1136,0.0827,3.89
45,-0.04,1,1,-5.0504,3.8129,0.1333,0.0045,3.9
46,-5.9581,50,0,-5.0701,3.7735,0.1304,0.0815,3.98
47,-0.0342,1,1,-4.963,3.8032,0.1489,0.0023,3.98
48,-2.7849,50,0,-4.9176,3.7763,0.1458,0.0892,4.07
49,-0.0347,1,1,-4.818,3.8008,0.1633,0.0046,4.08
50,-3.6986,50,0,-4.7956,3.7658,0.16,0.1134,4.19
51,-6.6724,50,0,-4.8324,3.7378,0.1569,0.0892,4.28
52,-4.1158,50,0,-4.8186,3.703,0.1538,0.0885,4.37
53,-3.1604,50,0,-4.7873,3.6748,0.1509,0.108,4.47
54,-2.8805,50,0,-4.752,3.6497,0.1481,0.0874,4.56
55,-4.6889,50,0,-4.7509,3.6164,0.1455,0.0885,4.65
56,-8.3827,50,0,-4.8157,3.6161,0.1429,0.0887,4.74
57,-0.0499,1,1,-4.7321,3.6384,0.1579,0.005,4.74
58,-4.0509,50,0,-4.7204,3.608,0.1552,0.1128,4.86
59,-4.8212,50,0,-4.7221,3.5773,0.1525,0.117,4.97
60,-4.1096,50,0,-4.7119,3.5482,0.15,0.1013,5.08
61,-4.2915,50,0,-4.705,3.5194,0.1475,0.103,5.18
62,-4.64,50,0,-4.7039,3.491,0.1452,0.1069,5.29
63,-5.0823,50,0,-4.7099,3.4635,0.1429,0.1147,5.4
64,-4.4926,50,0,-4.7065,3.4364,0.1406,0.0912,5.49
65,-3.2393,50,0,-4.684,3.4146,0.1385,0.0929,5.58
66,-0.0388,1,1,-4.6136,3.4359,0.1515,0.002,5.59
67,-9.0837,50,0,-4.6803,3.4529,0.1493,0.0943,5.68
68,-0.0201,1,1,-4.6118,3.473,0.1618,0.0031,5.68
69,-2.7295,50,0,-4.5845,3.4551,0.1594,0.1342,5.82
70,-3.0776,50,1,-4.563,3.435,0.1714,0.0919,5.91
71,-5.343,50,0,-4.5739,3.412,0.169,0.0923,6.0
72,-4.6275,50,0,-4.5747,3.3882,0.1667,0.1163,6.12
73,-3.0066,50,0,-4.5532,3.3698,0.1644,0.1116,6.23
74,-4.7876,50,0,-4.5564,3.3471,0.1622,0.0842,6.31
75,-3.4533,50,0,-4.5417,3.3271,0.16,0.1177,6.43
76,-5.3418,50,0,-4.5522,3.3064,0.1579,0.0733,6.51
77,-3.5099,50,0,-4.5387,3.287,0.1558,0.1125,6.62
78,-6.3296,50,0,-4.5616,3.2721,0.1538,0.0944,6.71
79,-4.4968,50,0,-4.5608,3.2513,0.1519,0.0915,6.8
80,-0.0217,1,1,-4.5041,3.27,0.1625,0.0016,6.81
81,-0.0251,1,1,-4.4488,3.2872,0.1728,0.0039,6.81
82,-3.6673,50,0,-4.4392,3.2682,0.1707,0.1301,6.94
83,-1.0858,18,1,-4.3988,3.269,0.1807,0.0468,6.99
84,-5.4917,50,0,-4.4118,3.2517,0.1786,0.0994,7.09
85,-0.0475,1,1,-4.3605,3.2666,0.1882,0.0041,7.09
86,-4.4148,50,0,-4.3611,3.2475,0.186,0.1004,7.19
87,-7.4228,50,0,-4.3963,3.2452,0.1839,0.0969,7.29
88,-2.8397,50,0,-4.3786,3.231,0.1818,0.1027,7.39
89,-3.8448,50,0,-4.3726,3.2133,0.1798,0.0903,7.48
90,-27.2248,50,0,-4.6265,3.9935,0.1778,0.0933,7.57
91,-4.2336,50,0,-4.6222,3.9717,0.1758,0.1153,7.69
92,-5.5612,50,0,-4.6324,3.9513,0.1739,0.1305,7.82
93,-4.2973,50,0,-4.6288,3.9302,0.172,0.1027,7.92
94,-5.834,50,0,-4.6416,3.9111,0.1702,0.1425,8.06
95,-0.0388,1,1,-4.5932,3.9188,0.1789,0.0019,8.07
96,-0.0299,1,1,-4.5457,3.9257,0.1875,0.0014,8.07
97,-2.6144,50,0,-4.5258,3.9103,0.1856,0.1068,8.17
98,-5.2486,50,0,-4.5331,3.891,0.1837,0.0916,8.27
99,-4.915,50,0,-4.537,3.8715,0.1818,0.0793,8.35
100,-4.8897,50,0,-4.5405,3.8522,0.18,0.1166,8.46
101,-0.0472,1,1,-4.5027,3.8775,0.19,0.0092,8.47
102,-4.0161,50,0,-4.5424,3.8519,0.18,0.0858,8.56
103,-19.7151,50,0,-4.7391,4.1108,0.17,0.0941,8.65
104,-0.0447,1,1,-4.6899,4.1372,0.18,0.0035,8.65
105,-5.4233,50,0,-4.6817,4.1349,0.18,0.1329,8.79
106,-3.1321,50,0,-4.6554,4.1363,0.18,0.106,8.89
107,-4.2658,50,0,-4.6663,4.1338,0.18,0.1116,9.01
108,-2.8806,50,0,-4.6662,4.1339,0.18,0.1042,9.11
109,-5.0068,50,0,-4.6831,4.1318,0.18,0.0925,9.2
110,-4.8468,50,0,-4.6051,4.0537,0.18,0.1102,9.31
111,-5.3314,50,0,-4.6185,4.0539,0.18,0.0858,9.4
112,-2.9676,50,0,-4.616,4.0549,0.18,0.0943,9.49
113,-10.2195,50,0,-4.6928,4.0874,0.18,0.1,9.59
114,-5.7698,50,0,-4.6904,4.0867,0.18,0.0929,9.69
115,-5.2372,50,0,-4.6634,4.074,0.18,0.1132,9.8
116,-0.0265,1,1,-4.6242,4.0995,0.19,0.0015,9.8
117,-0.0408,1,1,-4.534,4.1001,0.2,0.0044,9.8
118,-3.5793,50,0,-4.5117,4.0992,0.2,0.1048,9.91
119,-2.5582,50,0,-4.5071,4.1012,0.2,0.0896,10.0
120,-12.1845,50,0,-4.5915,4.1708,0.2,0.0955,10.09
121,-2.9543,50,0,-4.5369,4.1561,0.2,1.1812,11.28
122,-5.2406,50,0,-4.5477,4.1566,0.2,1.209,12.48
123,-4.5739,50,0,-4.5264,4.1509,0.2,1.1818,13.67
124,-4.6209,50,0,-4.5307,4.1508,0.2,1.2099,14.88
125,-4.9856,50,0,-4.5309,4.1508,0.2,1.2096,16.09
126,-2.8241,50,0,-4.4806,4.1407,0.2,1.2011,17.29
127,-0.0435,1,1,-4.3183,3.9907,0.21,0.0342,17.32
128,-4.9897,50,0,-4.3349,3.99,0.21,1.2265,18.55
129,-4.1514,50,0,-4.3358,3.99,0.21,1.2377,19.79
130,-6.1793,50,0,-4.1961,3.6653,0.21,1.243,21.03
131,-4.365,50,0,-4.1856,3.6633,0.21,1.2399,22.27
132,-7.1765,50,0,-4.22,3.6751,0.21,1.2272,23.5
133,-0.0301,1,1,-4.1909,3.6966,0.22,0.0338,23.53
