episode,reward,avg_reward_100,std_reward_100
0,22.568973540049225,22.568973540049225,0.0
1,4.404826483195504,13.486900011622364,9.08207352842686
2,8.841168242188502,11.93832275514441,7.732112007017413
3,16.38726136934985,13.05055740869577,6.967809185136939
4,4.288943921336706,11.298234711223959,7.150023161968254
5,6.810711246948459,10.550314133844708,6.7378991753789235
6,4.334467386538828,9.662336027086726,6.606413839648066
7,35.53356780052544,12.896239998766564,10.554433197923672
8,28.40810493410266,14.61978054713724,11.080769661448386
9,4.516975474030548,13.609500039826571,10.940343275790509
10,7.143165895679109,13.021651481267712,10.595553792980235
11,7.299286478739374,12.544787731057015,10.26701853333567
12,5.421304572870937,11.996827488119624,10.045208048193304
13,8.408980641877818,11.740552713388066,9.723806690867864
14,4.285632580094794,11.24355803783518,9.576375829578383
15,2.5995433297573944,10.703307118580323,9.505438127137309
16,9.715316874547467,10.645190045401918,9.22455919381186
17,5.828826137146831,10.37761427272108,9.032290802217588
18,21.49236477621652,10.962601141326104,9.135001178542334
19,14.384866765079064,11.133714422513751,8.9348838576866
20,8.39148983144633,11.00313229912959,8.73908762047446
21,0.9798603265232146,10.547529027647482,8.789725527672768
22,4.154964673200354,10.269591447019346,8.694806525574943
23,5.614138203907741,10.075614228556361,8.56242368560437
24,3.5348143701766377,9.813982234221172,8.486773627708127
25,15.820848000065613,10.045015532907497,8.40175763551724
26,1.993595934237741,9.746814807030841,8.383741394752773
27,9.599521769602662,9.741554341408406,8.23271599497434
28,5.024990367661392,9.578914204382649,8.135176973716323
29,5.9513123153977086,9.457994141416485,8.02490472016746
30,22.433870346237235,9.876570793184897,8.220577715944215
31,2.9406449664005736,9.659823111097882,8.180614583286225
32,24.8120586388682,10.11898176345456,8.464098012000381
33,6.503491506242248,10.012643814713021,8.3610420581814
34,11.199141450000667,10.04654374714981,8.243103404151915
35,24.427009980498088,10.446001142520595,8.464402266266866
36,9.658007351445573,10.424704013032082,8.350212747436323
37,0.969329618752217,10.17587837107735,8.37746872278633
38,14.311157167826611,10.281911160737586,8.295159817053657
39,32.96659143760516,10.849028167659275,8.923714515982285
40,57.27891701933153,11.981464481114696,11.357240000001958
41,7.943997544563283,11.88533431595871,11.23808992203762
42,6.878669785237855,11.768900257104736,11.132249064927906
43,6.908464767939706,11.658435814169167,11.02883267263162
44,75.498083592093,13.077094653678584,14.40438247594418
45,1.6532649789300848,12.828750530314487,14.344024203835136
46,72.83121698782679,14.105398752814748,16.623644616262226
47,8.968315654647522,13.998376188269598,16.465925152642175
48,10.720093650799871,13.931472463015114,16.303629858407056
49,5.0007773231674815,13.75285856021816,16.188125988393125
50,4.006436940241932,13.561752253944116,16.085495404345117
51,4.561396139363435,13.388668482509871,15.977959505068892
52,15.457598564492217,13.427704899151047,15.829009423970485
53,5.454412485570547,13.280051335936593,15.718558088213227
54,2.824906007696928,13.089957784514052,15.637523810167371
55,3.276606156405044,12.914719362583538,15.55167107130813
56,28.238465292388675,13.183557010474857,15.54537675034395
57,6.51353404759061,13.06855661456306,15.435220715288862
58,24.40865139423191,13.260761610828633,15.373699951352467
59,2.797209956760719,13.086369083260836,15.303784667774034
60,116.45506086628772,14.780937801015373,20.06639413926801
61,4.076000587006625,14.608277523370072,19.949540362650666
62,91.6875049520901,15.831757323825945,22.01079114327763
63,2.6075146265831175,15.625128531681527,21.89965341872529
64,2.776643728779157,15.4274595347138,21.78800385734004
65,4.363362682179898,15.259821703614799,21.664512164551507
66,6.039755885736736,15.122208780959904,21.531272839904616
67,7.427030838406829,15.00904439945177,21.392431839542766
68,1.342568576884755,14.810979532458045,21.299562230426027
69,76.02537203422524,15.68547085391186,22.359719403972573
70,0.40898523965000066,15.470309084696908,22.274560024664066
71,78.77518284976887,16.34954344254513,23.32706015289728
72,2.082743562242668,16.15410782774647,23.22601230822556
73,101.10813141296097,17.30213517349261,25.067297223367756
74,3.076683501977773,17.11246248453908,24.953022572253218
75,63.12433793029727,17.717881898299055,25.336741669702715
76,0.7110800096937977,17.497014341304183,25.245215933805465
77,26.299073562630046,17.60986125439811,25.102404211714504
78,78.66214293057439,18.382674946501606,25.859991443922837
79,78.93290878058535,19.139552869427643,26.56381352588668
80,100.81870471092692,20.14793746006344,27.897523004009848
81,110.2094846714715,21.246249011422073,29.43620253605453
82,156.89504851874204,22.880571897052434,32.78831052524869
83,7.5711478310550255,22.698316848647703,32.63482523732078
84,2.2907923333922273,22.458228324938812,32.51682644581685
85,1.4758465456770629,22.214247141459026,32.40538664989646
86,63.537953934304745,22.689232277008976,32.518324067627034
87,2.0612206556912986,22.454823054039455,32.406873794175254
