episode,reward,length,avg_reward_100,std_reward_100,policy_loss,entropy,episode_time_s,cumulative_time_s
0,7.240112414243679,16,7.240112414243679,0.0,-65.61300659179688,3.766253188252449,0.0142,0.01
1,12.334390464119108,13,9.787251439181393,2.5471390249377146,-57.408042907714844,4.175609111785889,0.0094,0.02
2,24.648086839143165,20,14.740863239168652,7.30765474495886,-30.575977325439453,4.667116391658783,0.0168,0.04
3,7.626726915432886,10,12.96232915823471,7.0385306587931,-67.5000228881836,4.086552619934082,0.0086,0.05
4,7.122653553431384,9,11.794394037274044,6.714835876989843,-71.07571411132812,4.234839757283528,0.0071,0.06
5,16.27227215390217,16,12.540707056712066,6.352881209394032,-45.374427795410156,4.099543735384941,0.0116,0.07
6,6.24819119446024,9,11.64177621924752,6.280284539583361,-70.1015396118164,4.111094448301527,0.0067,0.08
7,35.79519773578612,23,14.660953908814843,9.915632335314333,-6.494554042816162,4.560175491415936,0.0165,0.09
8,9.3149563688733,10,14.06695418215467,9.498317309997944,-60.6056022644043,3.999036407470703,0.0074,0.1
9,7.181391128755882,9,13.378397876814793,9.244631773081915,-66.12775421142578,4.076316621568468,0.0066,0.11
10,19.953861579070523,15,13.976167304292586,9.01482757322997,-37.95850372314453,4.343354574839274,0.0123,0.12
11,8.59324671607959,9,13.52759058860817,8.758326795810268,-59.55463409423828,3.9130466514163547,0.0091,0.13
12,15.564840323815732,15,13.68430210670106,8.432221101371363,-47.747127532958984,4.0756635665893555,0.014,0.15
13,7.352989031600389,13,13.232065458479584,8.287481344871823,-67.24142456054688,3.8892316268040585,0.0126,0.16
14,6.217595790200214,8,12.76443414726096,8.195427414768591,-69.56501770019531,4.169180691242218,0.0085,0.17
15,12.033220640212988,12,12.718733303070461,7.937162251788431,-57.33430099487305,4.31336232026418,0.0119,0.18
16,8.366508128853344,17,12.462720057528278,7.767974792677154,-72.779541015625,4.18162605341743,0.0157,0.2
17,20.52830460314903,26,12.910808087840543,7.7719006420728505,-45.796470642089844,4.121361173116243,0.0244,0.22
18,11.046499341132689,12,12.812686574855919,7.576058657767336,-63.78932571411133,4.530493140220642,0.0094,0.23
19,18.808841458213035,23,13.112494319023773,7.498975965585713,-48.4852180480957,4.107100434925245,0.0167,0.25
20,9.358096412697629,16,12.933713466341576,7.361796816864327,-64.85684967041016,4.247132048010826,0.0136,0.26
21,28.971536218841365,21,13.662705409637022,7.930486099095106,-19.44135856628418,4.714194377263387,0.017,0.28
22,8.313109680426447,11,13.430114290975693,7.832516728373151,-59.51396560668945,3.6673242178830234,0.0091,0.29
23,5.455872256641767,17,13.097854206211778,7.831427963110992,-77.8808364868164,4.054676490671494,0.0157,0.31
24,14.62929363384681,14,13.15911178331718,7.679067206491209,-50.16989517211914,4.079735125814166,0.0135,0.32
25,6.551639573239769,15,12.90497823677574,7.636404051308195,-72.11357116699219,3.8075535774230955,0.0123,0.33
26,1.7469043006198384,18,12.491716239140338,7.784297450984362,-92.12467956542969,4.144118852085537,0.0183,0.35
27,3.887823864340558,13,12.184434368611774,7.809005532991625,-95.70691680908203,4.842155254804171,0.0118,0.36
28,48.476804597728055,28,13.435895410995094,10.135586907746495,33.52487564086914,4.583819312708719,0.0239,0.39
29,6.447074101903244,11,13.202934700692031,10.043885435899213,-73.29314422607422,4.194812406193126,0.0111,0.4
30,22.444615063852645,19,13.50105342208431,10.014574182056831,-36.7393798828125,4.654916324113545,0.0151,0.42
31,16.277932652968683,14,13.587830898049447,9.868688909211956,-46.305274963378906,4.081076502799988,0.01,0.43
32,2.099356782652736,17,13.239695318795002,9.915549704480737,-104.587158203125,4.647837849224315,0.0126,0.44
33,10.325591678655273,23,13.153986388202656,9.781044680469778,-71.58963012695312,4.155640871628471,0.0197,0.46
34,1.6704984899975395,16,12.825886733968225,9.828301927604189,-90.35291290283203,4.08526636660099,0.0121,0.47
35,11.17500365138175,11,12.780028870563045,9.69463320360328,-66.6630859375,4.6875410730188545,0.0079,0.48
36,18.347997148460607,18,12.930514499695411,9.605259310794047,-48.57469940185547,4.643440021408929,0.0135,0.49
37,10.247223272102536,12,12.859901572653493,9.487759170006251,-69.17556762695312,4.718204617500305,0.0104,0.51
38,20.98456571571903,17,13.06822629427056,9.452967806430722,-35.48414993286133,4.438901452457204,0.015,0.52
39,53.676498141543746,32,14.083433090452388,11.28360687290272,28.26495361328125,4.163132555782795,0.025,0.55
40,1.8906948987134258,22,13.786049232117291,11.302739041633442,-94.5484390258789,4.12652313709259,0.0195,0.57
41,1.645978279966702,22,13.496999923732753,11.319705266212559,-97.4023208618164,4.138018499721181,0.0195,0.59
42,15.751453710880794,15,13.549429081573406,11.19246518759705,-46.97645568847656,4.003641589482625,0.0142,0.6
43,45.318386719966355,42,14.271450846082336,12.034980927326458,16.14913558959961,4.099763228779747,0.0369,0.64
44,5.339869310744163,19,14.072971256408154,11.97311257462879,-91.95002746582031,4.500175789782875,0.0183,0.66
45,3.3248560943094914,20,13.839316578971225,11.945532860491253,-95.20225524902344,4.328538954257965,0.0195,0.68
46,4.625300606793072,19,13.643273685946157,11.8923330323485,-98.080078125,4.722988843917847,0.0184,0.7
47,8.129776585424054,25,13.528409163018617,11.794120920523683,-92.13346862792969,4.697735624313355,0.0187,0.72
48,14.530995696515618,23,13.548870112681824,11.674013093545579,-62.85678482055664,4.253972001697706,0.0179,0.73
49,13.816226296155715,32,13.5542172363513,11.556743964843793,-70.80517578125,4.626583196222782,0.0236,0.76
50,6.975503990449843,20,13.425222858980684,11.479177572166984,-77.8138427734375,3.910734307765961,0.0166,0.78
51,1.4357588757536721,16,13.194656243918626,11.486890756321456,-87.18089294433594,3.8689464181661606,0.013,0.79
52,18.720179116732353,16,13.29891139246228,11.402817940108335,-37.748191833496094,3.8629366010427475,0.0132,0.8
53,4.854955986873584,13,13.142541847914343,11.353956420168982,-84.28607940673828,4.4879299493936395,0.0104,0.81
54,5.600962254271918,22,13.005422218939026,11.295298256990655,-81.86591339111328,3.9456096562472256,0.017,0.83
55,90.04192012153437,66,14.381073967199654,15.145575476832265,45.12145233154297,4.299765641039068,0.047,0.88
56,5.506237288990878,25,14.225375078108272,15.057279226527937,-104.21890258789062,4.9224820232391355,0.0207,0.9
57,59.28766189831748,34,15.002311057767052,16.038065533196097,36.669166564941406,4.0372047213947075,0.0285,0.93
58,13.360278762776161,12,14.97448000191975,15.90298140755676,-51.00514602661133,4.092197140057881,0.0113,0.94
59,5.8497666934655195,19,14.822401446778846,15.813104776862616,-77.64424896240234,3.8128293062511243,0.0172,0.96
60,11.165759831497319,13,14.762456502266033,15.689825873176225,-60.28680419921875,4.13119519673861,0.0122,0.97
61,8.497854459860092,16,14.66141453384013,15.582776390780419,-65.52643585205078,3.8528887182474136,0.0125,0.98
62,87.29047276629265,67,15.814256728006043,17.926778453171988,47.13169860839844,4.13857130861994,0.0519,1.04
63,65.83749081757674,45,16.59586976065559,18.837087933762113,37.042930603027344,4.049361652798122,0.0388,1.08
64,64.67093230241696,45,17.335486107451917,19.605788381150425,31.40702247619629,4.1089456346299915,0.0364,1.11
65,58.70017784453396,43,17.96222386104407,20.102112010834848,24.722644805908203,4.28184835855351,0.0417,1.16
66,12.09427078629558,19,17.874642471868718,19.964215311532936,-65.52971649169922,4.232750980477584,0.0172,1.17
67,81.26004211850471,64,18.806780701966307,21.23496276450516,57.94399642944336,3.9723341800272465,0.0573,1.23
68,64.82236512647737,44,19.47367322985777,21.786032730070875,31.981229782104492,4.014621268619191,0.0426,1.27
