episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-0.0323,1,1,-0.0323,0.0,1.0,0.0113,0.01
2,-4.3112,50,0,-2.1718,2.1394,0.5,0.1979,0.21
3,-5.4281,50,0,-3.2572,2.3255,0.3333,0.1637,0.37
4,-3.7995,50,0,-3.3928,2.0276,0.25,0.1576,0.53
5,-5.2105,50,0,-3.7563,1.9538,0.2,0.1473,0.68
6,-5.3914,50,0,-4.0288,1.8848,0.1667,0.1481,0.83
7,-5.1183,50,0,-4.1845,1.7862,0.1429,0.1508,0.98
8,-4.6756,50,0,-4.2459,1.6787,0.125,0.1532,1.13
9,-4.8669,50,0,-4.3149,1.5947,0.1111,0.1572,1.29
10,-2.8395,50,0,-4.1673,1.5763,0.1,0.1726,1.46
11,-5.2152,50,0,-4.2626,1.5328,0.0909,0.1781,1.64
12,-5.4965,50,0,-4.3654,1.5066,0.0833,0.1492,1.79
13,-0.0242,1,1,-4.0315,1.853,0.1538,0.0072,1.79
14,-4.0625,50,0,-4.0337,1.7856,0.1429,0.1483,1.94
15,-6.7796,50,0,-4.2168,1.8561,0.1333,0.1432,2.09
16,-0.6669,12,1,-3.9949,1.992,0.1875,0.045,2.13
17,-4.4217,50,0,-4.02,1.9351,0.1765,0.1617,2.29
18,-0.0481,1,1,-3.7993,2.0891,0.2222,0.0038,2.3
19,-2.6301,50,0,-3.7378,2.0501,0.2105,0.1682,2.46
20,-4.3977,50,0,-3.7708,2.0033,0.2,0.1493,2.61
21,-0.0344,1,1,-3.5929,2.1108,0.2381,0.0079,2.62
22,-0.0469,1,1,-3.4317,2.1905,0.2727,0.0046,2.63
23,-6.4606,50,0,-3.5634,2.2297,0.2609,0.1394,2.77
24,-4.9559,50,0,-3.6214,2.2004,0.25,0.1619,2.93
25,-3.5174,50,0,-3.6172,2.156,0.24,0.1813,3.11
26,-5.1186,50,0,-3.675,2.1338,0.2308,0.1493,3.26
27,-0.0499,1,1,-3.5407,2.203,0.2593,0.0031,3.26
28,-4.932,50,0,-3.5904,2.1786,0.25,0.1313,3.39
29,-3.0818,50,0,-3.5729,2.1427,0.2414,0.1502,3.54
30,-0.041,1,1,-3.4552,2.2001,0.2667,0.0031,3.55
31,-3.9767,50,0,-3.472,2.1662,0.2581,0.1615,3.71
32,-3.064,50,0,-3.4592,2.1333,0.25,0.1542,3.86
33,-3.6528,50,0,-3.4651,2.101,0.2424,0.1979,4.06
34,-5.1066,50,0,-3.5134,2.0884,0.2353,0.1775,4.24
35,-6.5334,50,0,-3.5997,2.1189,0.2286,0.1557,4.39
36,-2.9556,50,0,-3.5818,2.092,0.2222,0.1368,4.53
37,-0.026,1,1,-3.4857,2.1425,0.2432,0.0061,4.54
38,-6.2327,50,0,-3.558,2.1594,0.2368,0.1607,4.7
