mass,mean_return,std_return,success_rate,episodes
1.0,-0.6863372921943665,1.282442569732666,0.96,50
2.0,-0.496785432100296,0.4925839304924011,0.98,50
3.0,-0.6470641493797302,0.682976484298706,0.98,50
5.0,-0.6394724249839783,0.6836915612220764,0.96,50
8.0,-0.5559394359588623,0.5142639875411987,1.0,50
10.0,-0.8421475887298584,0.8627353310585022,0.98,50
