mass,mean_return,std_return,success_rate,episodes
1.0,-3.6345582008361816,2.0216474533081055,0.2,50
2.0,-3.4251935482025146,2.1398189067840576,0.24,50
3.0,-3.471956253051758,2.1193201541900635,0.24,50
5.0,-3.4901185035705566,1.8981828689575195,0.2,50
8.0,-3.8294646739959717,1.76070237159729,0.14,50
10.0,-3.543525457382202,1.976499319076538,0.2,50
