episode,center,delta
100,0.949,0.1
200,0.8989999999999999,0.1
300,0.8529999999999999,0.1
400,0.8059999999999998,0.1
500,0.7569999999999998,0.1
600,0.7069999999999997,0.1
700,0.6509999999999998,0.1
800,0.6009999999999998,0.1
900,0.6,0.1
1000,0.6,0.1
1100,0.6,0.1
1200,0.6,0.1
1300,0.6,0.1
1400,0.6,0.1
1500,0.6,0.1
1600,0.6,0.1
1700,0.6,0.1
1800,0.6,0.1
1900,0.6,0.1
2000,0.6,0.1
2100,0.6,0.1
2200,0.6,0.1
2300,0.6,0.1
2400,0.6,0.1
2500,0.6,0.1
2600,0.6,0.1
2700,0.6,0.1
2800,0.6,0.1
2900,0.6,0.1
3000,0.6,0.1
3100,0.6,0.1
3200,0.6,0.1
3300,0.6,0.1
3400,0.6,0.1
3500,0.6,0.1
3600,0.6,0.1
3700,0.6,0.1
3800,0.6,0.1
3900,0.6,0.1
4000,0.6,0.1
4100,0.6,0.1
4200,0.6,0.1
4300,0.6,0.1
4400,0.6,0.1
4500,0.6,0.1
4600,0.6,0.1
4700,0.6,0.1
4800,0.6,0.1
4900,0.6,0.1
5000,0.6,0.1
5100,0.6,0.1
5200,0.6,0.1
5300,0.6,0.1
5400,0.6,0.1
5500,0.6,0.1
5600,0.6,0.1
5700,0.6,0.1
5800,0.6,0.1
5900,0.6,0.1
6000,0.6,0.1
6100,0.6,0.1
6200,0.6,0.1
6300,0.6,0.1
6400,0.6,0.1
6500,0.6,0.1
6600,0.6,0.1
6700,0.6,0.1
6800,0.6,0.1
6900,0.6,0.1
7000,0.6,0.1
7100,0.6,0.1
7200,0.6,0.1
7300,0.6,0.1
7400,0.6,0.1
7500,0.6,0.1
7600,0.6,0.1
7700,0.6,0.1
7800,0.6,0.1
7900,0.6,0.1
8000,0.6,0.1
8100,0.6,0.1
8200,0.6,0.1
8300,0.6,0.1
8400,0.6,0.1
8500,0.6,0.1
8600,0.6,0.1
8700,0.6,0.1
8800,0.601,0.25
8900,0.6,0.2
9000,0.6,0.15000000000000002
9100,0.6,0.10000000000000002
9200,0.6,0.1
9300,0.6,0.1
9400,0.6,0.1
9500,0.6,0.1
9600,0.6,0.1
9700,0.6,0.1
9800,0.6,0.1
9900,0.6,0.1
10000,0.6,0.1
10100,0.6,0.1
10200,0.601,0.25
10300,0.601,0.4
10400,0.601,0.501
10500,0.603,0.503
10600,0.606,0.506
10700,0.619,0.519
10800,0.622,0.522
10900,0.633,0.533
11000,0.63,0.48300000000000004
11100,0.639,0.539
11200,0.646,0.546
11300,0.654,0.554
11400,0.666,0.5660000000000001
11500,0.672,0.5720000000000001
11600,0.684,0.5840000000000001
11700,0.6940000000000001,0.5940000000000001
11800,0.7050000000000001,0.6050000000000001
11900,0.7130000000000001,0.6130000000000001
12000,0.7240000000000001,0.6240000000000001
12100,0.7370000000000001,0.6370000000000001
12200,0.7500000000000001,0.6500000000000001
12300,0.7570000000000001,0.6570000000000001
12400,0.7640000000000001,0.6640000000000001
12500,0.7760000000000001,0.6760000000000002
12600,0.7940000000000002,0.6940000000000002
12700,0.8080000000000002,0.7080000000000002
12800,0.8230000000000002,0.7230000000000002
12900,0.8360000000000002,0.7360000000000002
13000,0.8520000000000002,0.7520000000000002
13100,0.8620000000000002,0.7620000000000002
13200,0.8790000000000002,0.7790000000000002
13300,0.8880000000000002,0.7880000000000003
13400,0.8990000000000002,0.7990000000000003
13500,0.9130000000000003,0.8130000000000003
13600,0.9290000000000003,0.8290000000000003
13700,0.9370000000000003,0.8370000000000003
13800,0.9540000000000003,0.8540000000000003
13900,0.9670000000000003,0.8670000000000003
14000,0.9810000000000003,0.8810000000000003
14100,0.9980000000000003,0.8980000000000004
14200,1.0150000000000003,0.9150000000000004
14300,1.0280000000000002,0.9280000000000003
14400,1.0440000000000003,0.9440000000000003
14500,1.0590000000000002,0.9590000000000002
14600,1.0710000000000002,0.9710000000000002
14700,1.0890000000000002,0.9890000000000002
14800,1.1030000000000002,1.0030000000000001
14900,1.1170000000000002,1.0170000000000001
15000,1.1280000000000001,1.028
15100,1.141,1.041
15200,1.163,1.063
15300,1.179,1.079
15400,1.195,1.095
15500,1.214,1.1139999999999999
15600,1.23,1.13
15700,1.244,1.144
15800,1.266,1.166
15900,1.289,1.1889999999999998
16000,1.3099999999999998,1.2099999999999997
16100,1.3239999999999998,1.2239999999999998
16200,1.3479999999999999,1.2479999999999998
16300,1.3659999999999999,1.2659999999999998
16400,1.3849999999999998,1.2849999999999997
16500,1.4059999999999997,1.3059999999999996
16600,1.4229999999999996,1.3229999999999995
16700,1.4449999999999996,1.3449999999999995
16800,1.4679999999999995,1.3679999999999994
16900,1.4869999999999994,1.3869999999999993
17000,1.5099999999999993,1.4099999999999993
17100,1.5329999999999993,1.4329999999999992
17200,1.5509999999999993,1.4509999999999992
17300,1.5709999999999993,1.4709999999999992
17400,1.5929999999999993,1.4929999999999992
17500,1.6139999999999992,1.5139999999999991
17600,1.6309999999999991,1.530999999999999
17700,1.647999999999999,1.547999999999999
17800,1.671999999999999,1.571999999999999
17900,1.691999999999999,1.591999999999999
18000,1.714999999999999,1.6149999999999989
18100,1.736999999999999,1.636999999999999
18200,1.761999999999999,1.6619999999999988
18300,1.783999999999999,1.6839999999999988
18400,1.8049999999999988,1.7049999999999987
18500,1.8259999999999987,1.7259999999999986
18600,1.8509999999999986,1.7509999999999986
18700,1.8739999999999986,1.7739999999999985
18800,1.8969999999999985,1.7969999999999984
18900,1.9259999999999984,1.8259999999999983
19000,1.9429999999999983,1.8429999999999982
19100,1.9649999999999983,1.8649999999999982
19200,1.9859999999999982,1.8859999999999981
19300,2.0119999999999982,1.9119999999999981
19400,2.032999999999998,1.932999999999998
19500,2.056999999999998,1.956999999999998
19600,2.078999999999998,1.9789999999999979
19700,2.101999999999998,2.001999999999998
19800,2.122999999999998,2.022999999999998
19900,2.141999999999998,2.041999999999998
20000,2.1649999999999983,2.064999999999998
20100,2.178999999999998,2.078999999999998
20200,2.198999999999998,2.098999999999998
20300,2.222999999999998,2.122999999999998
20400,2.2499999999999982,2.149999999999998
20500,2.271999999999998,2.171999999999998
20600,2.294999999999998,2.194999999999998
20700,2.314999999999998,2.214999999999998
20800,2.334999999999998,2.234999999999998
20900,2.3579999999999983,2.2579999999999982
21000,2.3749999999999982,2.274999999999998
21100,2.3949999999999982,2.294999999999998
21200,2.419999999999998,2.319999999999998
21300,2.443999999999998,2.343999999999998
21400,2.468999999999998,2.368999999999998
21500,2.495999999999998,2.395999999999998
21600,2.513999999999998,2.413999999999998
21700,2.537999999999998,2.437999999999998
21800,2.558999999999998,2.458999999999998
21900,2.579999999999998,2.4799999999999978
22000,2.598999999999998,2.498999999999998
22100,2.623999999999998,2.523999999999998
22200,2.648999999999998,2.5489999999999977
22300,2.667999999999998,2.567999999999998
22400,2.686999999999998,2.586999999999998
