episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-0.0323,1,1,-0.0323,0.0,1.0,0.0099,0.01
2,-4.3112,50,0,-2.1718,2.1394,0.5,0.2059,0.22
3,-5.4281,50,0,-3.2572,2.3255,0.3333,0.1759,0.39
4,-3.7995,50,0,-3.3928,2.0276,0.25,0.1627,0.55
5,-5.2043,50,0,-3.7551,1.9529,0.2,0.1596,0.71
6,-5.3908,50,0,-4.0277,1.8841,0.1667,0.1603,0.87
7,-5.1185,50,0,-4.1835,1.7856,0.1429,0.1582,1.03
8,-4.676,50,0,-4.2451,1.6782,0.125,0.1588,1.19
9,-4.8669,50,0,-4.3142,1.5943,0.1111,0.135,1.33
10,-2.8395,50,0,-4.1667,1.5758,0.1,0.1507,1.48
11,-5.2137,50,0,-4.2619,1.5323,0.0909,0.1602,1.64
12,-5.4965,50,0,-4.3648,1.5063,0.0833,0.161,1.8
13,-0.0242,1,1,-4.0309,1.8526,0.1538,0.0068,1.8
14,-4.0625,50,0,-4.0332,1.7852,0.1429,0.1681,1.97
15,-6.7796,50,0,-4.2163,1.8558,0.1333,0.1635,2.14
16,-0.6211,11,1,-3.9916,1.9965,0.1875,0.0416,2.18
17,-4.4201,50,0,-4.0168,1.9395,0.1765,0.1442,2.32
18,-0.0481,1,1,-3.7963,2.0926,0.2222,0.0036,2.33
19,-1.3614,26,1,-3.6681,2.1081,0.2632,0.0799,2.41
20,-4.269,50,0,-3.6982,2.0589,0.25,0.1612,2.57
21,-0.0344,1,1,-3.5237,2.1555,0.2857,0.0058,2.57
22,-0.0469,1,1,-3.3657,2.227,0.3182,0.0037,2.58
23,-6.4603,50,0,-3.5002,2.2676,0.3043,0.158,2.73
24,-9.4477,50,0,-3.748,2.518,0.2917,0.1533,2.89
25,-4.5269,50,0,-3.7792,2.4718,0.28,0.1421,3.03
26,-4.9914,50,0,-3.8258,2.435,0.2692,0.1646,3.19
27,-0.0499,1,1,-3.686,2.4936,0.2963,0.0054,3.2
28,-4.6469,50,0,-3.7203,2.4552,0.2857,0.157,3.36
29,-3.0793,50,0,-3.6982,2.4153,0.2759,0.1508,3.51
30,-0.041,1,1,-3.5763,2.4638,0.3,0.0041,3.51
31,-3.976,50,0,-3.5892,2.4247,0.2903,0.1552,3.67
32,-3.0623,50,0,-3.5727,2.3883,0.2812,0.1627,3.83
33,-4.6205,50,0,-3.6045,2.3587,0.2727,0.1613,3.99
34,-3.5316,50,0,-3.6023,2.3238,0.2647,0.1687,4.16
35,-6.5351,50,0,-3.6861,2.3419,0.2571,0.1592,4.32
36,-3.8437,50,0,-3.6905,2.3093,0.25,0.1584,4.48
37,-0.0261,1,1,-3.5915,2.3541,0.2703,0.0068,4.48
