episode,reward,length,avg_reward_100,std_reward_100,policy_loss,entropy,episode_time_s,cumulative_time_s
0,7.99010911468057,12,7.99010911468057,0.0,-0.15454645454883575,4.926271001497905,0.0243,0.02
1,18.845030053579674,18,13.417569584130122,5.427460469449551,0.2259485423564911,4.207747154765659,0.0163,0.04
2,5.966070878387197,9,10.933736682215814,5.654827129767612,-0.26495689153671265,3.858981000052558,0.0081,0.05
3,12.606476935038204,15,11.35192174542141,4.950498827586132,-0.5224471688270569,4.6179114818573,0.0129,0.06
4,6.970156537894061,10,10.475568703915942,4.762134975719282,-0.2530733644962311,3.612981748580933,0.0097,0.07
5,6.791952188022125,11,9.861632617933639,4.558822456968877,0.06664640456438065,3.8784194859591397,0.0098,0.08
6,8.51885262858065,12,9.669806905168926,4.246723973273743,0.1111731231212616,3.7173628409703574,0.0106,0.09
7,17.642460924861872,18,10.666388657630543,4.767867213692824,0.45049455761909485,4.345745126406352,0.0155,0.11
8,22.282490165462256,20,11.957066602945178,5.790812938063682,0.2611996531486511,4.676206862926483,0.0167,0.13
9,4.961313863104123,10,11.257491328961072,5.88088540196207,0.4648759365081787,3.6396857261657716,0.0092,0.14
10,8.272972697383546,13,10.986171453363115,5.672467182873137,-0.11803121864795685,4.265141193683331,0.0114,0.15
11,21.77362865665188,19,11.885126220303846,6.195546251039404,0.04384490102529526,4.181201457977295,0.0172,0.17
12,10.897607201652976,15,11.809163218869164,5.958301894698545,-0.6058756113052368,4.186883370081584,0.0134,0.18
13,30.551900220083663,26,13.147930147527344,7.5010272293472235,-0.12272767722606659,3.9899671903023353,0.0219,0.2
14,18.4500857985461,19,13.501407190928594,7.366384898895674,-0.07831309735774994,3.8809758111050257,0.0158,0.22
15,20.170371960469193,20,13.91821748902488,7.312873046398904,0.29848867654800415,4.34612021446228,0.017,0.24
16,8.293257587146044,14,13.587337494796714,7.216927740845044,0.5481479167938232,4.087576883179801,0.0128,0.25
17,4.643585665274707,9,13.090462393156603,7.306677126933583,0.7754526734352112,3.8992392222086587,0.0095,0.26
18,8.337539028871346,13,12.84030853187843,7.190552536581421,-0.22212091088294983,4.751910338034997,0.0115,0.27
19,10.737654620376034,14,12.73517583630331,7.023449884648539,0.13126760721206665,3.881518704550607,0.0124,0.28
20,5.669013639377858,8,12.398691922164002,7.017427163591963,-0.22805041074752808,3.9924939274787903,0.0074,0.29
21,8.846839458245748,13,12.23724408289499,6.895888699212628,0.08769137412309647,4.1687490206498365,0.0114,0.3
22,22.596581558197975,21,12.687650060082078,7.067445717639827,-0.11732763051986694,4.36112151827131,0.0173,0.32
23,15.327470291815159,17,12.797642569737624,6.938721174066729,0.365736186504364,4.801531707539278,0.0166,0.34
24,3.6888839813970846,6,12.433292226204003,7.028943421182014,1.1454954147338867,4.5076766808827715,0.0066,0.35
25,26.223802751681657,24,12.963696477183912,7.385054490715747,-0.2669193148612976,4.117405941088994,0.0199,0.37
26,5.346142303613429,8,12.681564841125747,7.388411231429812,-0.0650763213634491,3.9692001342773438,0.0079,0.37
27,4.98470438359639,8,12.406676967642555,7.394541040201798,-0.24250134825706482,3.5558173656463623,0.0076,0.38
28,52.41755906951648,33,13.786362557362345,10.300128707881017,0.05816305801272392,4.2336461977525195,0.0264,0.41
29,6.661897208390954,15,13.548880379063299,10.20743677182953,-0.1699775606393814,4.362374353408813,0.0162,0.43
30,9.737570290969886,13,13.425934892350607,10.064005591215848,0.2665973901748657,4.282081127166748,0.0119,0.44
31,51.58854421034637,35,14.618516433537977,11.925135207910811,-0.33486655354499817,4.12749787058149,0.0346,0.47
32,13.256961281449527,16,14.577257186504994,11.74538058383901,0.1082967221736908,4.532209604978561,0.0171,0.49
33,68.66590648640363,41,16.1680998129726,14.74490570165868,0.055657003074884415,4.013975980805188,0.0377,0.53
34,8.164127993577726,12,15.939414903847032,14.593784859555731,-0.053684454411268234,3.799063503742218,0.0122,0.54
35,51.36188684747604,35,16.923372457836727,15.522516609565205,-0.0478624626994133,3.9719578879220143,0.0319,0.57
36,6.802061079918435,9,16.649823501676774,15.399033892158732,0.23706205189228058,4.305801788965861,0.0091,0.58
37,6.856599984667102,9,16.392107093334413,15.275713792006911,0.028124861419200897,4.311383459303114,0.0081,0.59
38,7.2472373320730155,11,16.15762325330207,15.147722795153754,-0.0726170539855957,4.558676806363192,0.0101,0.6
39,46.62172290981755,28,16.919225744714957,15.695179644527055,0.003985958639532328,4.353084547179086,0.0244,0.63
40,5.2374070695124235,9,16.6343033380027,15.60697392477092,0.3862733840942383,4.39779872364468,0.0088,0.64
41,5.748981906517237,10,16.375129018205424,15.509100297441828,-0.2010302096605301,4.464422750473022,0.0099,0.65
42,4.780802629446283,8,16.10549352079242,15.426988001221444,0.11182594299316406,3.6842584013938904,0.0076,0.66
43,52.31714183157584,32,16.92848552785568,16.177380254979067,0.2334606945514679,4.557412624359131,0.0282,0.68
44,5.64456749114827,9,16.677731793706624,16.082863983410558,0.9737758636474609,4.422775242063734,0.0083,0.69
45,8.395694610886077,13,16.49768750712357,15.952874984398777,-0.5850305557250977,4.167625170487624,0.0119,0.71
46,27.144839834799114,24,16.724222663031558,15.856862418509005,-0.23438985645771027,4.299367745717366,0.02,0.73
47,60.226214951994955,37,17.630514169051633,16.87619247496565,0.1069355234503746,3.978994607925415,0.0324,0.76
48,5.77443809584192,10,17.38855343286368,16.787008893941906,0.10672779381275177,3.8835883378982543,0.0115,0.77
49,21.75082797136751,22,17.475798923633757,16.62950905049529,-0.19100737571716309,4.121266852725636,0.0239,0.8
50,53.061233267919704,34,18.1735525382276,17.188985207163352,0.11815881729125977,4.195720251868753,0.0281,0.83
51,7.896828654211548,14,17.97592323276575,17.081311147567543,0.07012950628995895,3.9035906280790056,0.0149,0.84
52,5.320610615069839,10,17.737143749413,17.006789440826317,0.29502537846565247,3.805224823951721,0.0096,0.85
53,77.95385511080272,46,18.852268033883178,18.702416275609945,0.12368098646402359,3.9964056377825528,0.0425,0.89
54,55.49706239270128,36,19.518537022225324,19.16747523992823,-0.15239985287189484,4.036461962593926,0.0318,0.93
55,7.390711414928602,11,19.301968707809312,19.063345316264993,-0.06698985397815704,3.885140440680764,0.009,0.94
56,75.64524294083894,47,20.29044720312562,20.29168612770611,-0.025180207565426826,4.138472420104007,0.0395,0.98
57,16.801911594322718,20,20.230300037456605,20.121122043064126,0.05399497598409653,3.9145225286483765,0.0213,1.0
58,61.8150687230197,36,20.935126625347504,20.659399702413136,-0.10460065305233002,4.350444171163771,0.0421,1.04
59,6.398892182393941,12,20.69285605129828,20.570860206328074,-0.15511848032474518,4.351325968901317,0.0123,1.05
60,3.7571748361982604,7,20.41522193301795,20.51458208002193,0.08222977072000504,4.211713416235788,0.0077,1.06
61,5.299806340156119,11,20.171424907326628,20.437364362054264,0.27478986978530884,4.057708263397217,0.0122,1.07
62,50.0508197436682,30,20.645701015839986,20.61557840637618,-0.06538095325231552,4.0447112083435055,0.0265,1.1
63,20.173939792606703,20,20.638329746726974,20.453968778251422,0.19718196988105774,4.312165379524231,0.018,1.12
64,57.740192468252076,38,21.209127634750438,20.803372594384594,0.19548441469669342,4.216713673190067,0.0357,1.16
65,52.1467947469376,34,21.677880166753273,20.988220856320343,-0.3550823926925659,4.198607255430782,0.0341,1.19
