episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-0.0323,1,1,-0.0323,0.0,1.0,0.0112,0.01
2,-4.3112,50,0,-2.1718,2.1394,0.5,0.1023,0.11
3,-5.4281,50,0,-3.2572,2.3255,0.3333,0.0951,0.21
4,-3.7995,50,0,-3.3928,2.0276,0.25,0.0861,0.29
5,-5.4624,50,0,-3.8067,1.9935,0.2,0.0818,0.38
6,-5.3908,50,0,-4.0707,1.9132,0.1667,0.0807,0.46
7,-5.1185,50,0,-4.2204,1.8088,0.1429,0.0778,0.54
8,-4.676,50,0,-4.2774,1.6987,0.125,0.0815,0.62
9,-4.8669,50,0,-4.3429,1.6122,0.1111,0.0719,0.69
10,-2.8395,50,0,-4.1925,1.5946,0.1,0.0833,0.77
11,-5.292,50,0,-4.2925,1.5529,0.0909,0.0894,0.86
12,-5.4959,50,0,-4.3928,1.5235,0.0833,0.0825,0.94
13,-0.0242,1,1,-4.0567,1.8702,0.1538,0.0045,0.95
14,-4.0625,50,0,-4.0571,1.8022,0.1429,0.0767,1.02
15,-6.7796,50,0,-4.2386,1.8688,0.1333,0.0824,1.11
16,-0.6156,11,1,-4.0122,2.0108,0.1875,0.0208,1.13
17,-4.4213,50,0,-4.0363,1.9531,0.1765,0.0763,1.2
18,-0.0481,1,1,-3.8147,2.1065,0.2222,0.0017,1.21
19,-1.3596,26,1,-3.6855,2.1224,0.2632,0.0448,1.25
20,-6.6816,50,0,-3.8353,2.1692,0.25,0.084,1.33
21,-0.0344,1,1,-3.6543,2.2664,0.2857,0.0039,1.34
22,-0.0469,1,1,-3.4903,2.3383,0.3182,0.0018,1.34
23,-6.4605,50,0,-3.6195,2.3658,0.3043,0.0748,1.42
24,-9.5045,50,0,-3.8647,2.5974,0.2917,0.0841,1.5
25,-4.0929,50,0,-3.8738,2.5454,0.28,0.0808,1.58
26,-4.9903,50,0,-3.9167,2.5051,0.2692,0.0812,1.66
27,-0.0499,1,1,-3.7735,2.5645,0.2963,0.0017,1.66
28,-4.6469,50,0,-3.8047,2.5235,0.2857,0.0779,1.74
29,-3.0793,50,0,-3.7797,2.4831,0.2759,0.0746,1.82
30,-0.041,1,1,-3.6551,2.532,0.3,0.0015,1.82
31,-3.976,50,0,-3.6654,2.4914,0.2903,0.0841,1.9
32,-3.0623,50,0,-3.6466,2.4544,0.2812,0.0867,1.99
33,-4.6899,50,0,-3.6782,2.4236,0.2727,0.0854,2.07
34,-3.5323,50,0,-3.6739,2.3878,0.2647,0.0872,2.16
35,-6.5335,50,0,-3.7556,2.4012,0.2571,0.0808,2.24
36,-3.9918,50,0,-3.7622,2.3679,0.25,0.0786,2.32
37,-0.0261,1,1,-3.6612,2.413,0.2703,0.0047,2.32
38,-4.1607,50,0,-3.6743,2.3824,0.2632,0.0753,2.4
39,-0.0314,1,1,-3.5809,2.4211,0.2821,0.0016,2.4
40,-0.0402,1,1,-3.4924,2.4537,0.3,0.0016,2.4
41,-5.587,50,0,-3.5435,2.445,0.2927,0.0831,2.49
42,-8.0818,50,0,-3.6516,2.5129,0.2857,0.0896,2.58
43,-4.6335,50,0,-3.6744,2.4879,0.2791,0.0756,2.65
44,-2.9098,50,0,-3.657,2.4621,0.2727,0.0787,2.73
45,-4.2718,50,0,-3.6707,2.4363,0.2667,0.1039,2.83
46,-0.0271,1,1,-3.5915,2.4675,0.2826,0.0017,2.84
47,-4.9342,50,0,-3.62,2.4488,0.2766,0.0841,2.92
48,-4.326,50,0,-3.6347,2.4253,0.2708,0.0816,3.0
49,-6.5887,50,0,-3.695,2.4365,0.2653,0.0837,3.09
50,-8.0078,50,0,-3.7813,2.4864,0.26,0.0813,3.17
51,-0.0289,1,1,-3.7077,2.5163,0.2745,0.0015,3.17
52,-9.6191,50,0,-3.8214,2.6209,0.2692,0.0768,3.24
53,-5.7043,50,0,-3.8569,2.6086,0.2642,0.0884,3.33
54,-0.0248,1,1,-3.786,2.6355,0.2778,0.0023,3.34
55,-4.6357,50,0,-3.8014,2.6139,0.2727,0.093,3.43
56,-5.3258,50,0,-3.8286,2.5983,0.2679,0.0896,3.52
57,-5.5513,50,0,-3.8588,2.5853,0.2632,0.0838,3.6
58,-4.624,50,0,-3.872,2.5649,0.2586,0.083,3.69
59,-3.8535,50,0,-3.8717,2.5431,0.2542,0.0778,3.76
60,-5.8776,50,0,-3.9052,2.5348,0.25,0.082,3.84
61,-0.0326,1,1,-3.8417,2.5616,0.2623,0.0042,3.85
62,-2.9702,50,0,-3.8276,2.5432,0.2581,0.0717,3.92
63,-4.3297,50,0,-3.8356,2.5237,0.254,0.0828,4.0
64,-0.045,1,1,-3.7764,2.5477,0.2656,0.0015,4.01
65,-6.6059,50,0,-3.8199,2.5519,0.2615,0.0751,4.08
66,-3.6713,50,0,-3.8176,2.5326,0.2576,0.0874,4.17
67,-2.6452,50,0,-3.8001,2.5176,0.2537,0.0773,4.24
68,-4.6204,50,0,-3.8122,2.501,0.25,0.0762,4.32
69,-2.5783,50,0,-3.7943,2.4872,0.2464,0.0826,4.4
70,-6.8265,50,0,-3.8376,2.4954,0.2429,0.0845,4.49
71,-4.7881,50,0,-3.851,2.4803,0.2394,0.0878,4.58
72,-4.2358,50,0,-3.8564,2.4634,0.2361,0.0763,4.65
73,-30.841,50,0,-4.226,3.9779,0.2329,0.0783,4.73
74,-4.4215,50,0,-4.2287,3.951,0.2297,0.075,4.81
75,-0.0161,1,1,-4.1725,3.9542,0.24,0.0018,4.81
76,-5.6968,50,0,-4.1925,3.9319,0.2368,0.0808,4.89
77,-5.3959,50,0,-4.2082,3.9087,0.2338,0.0738,4.96
78,-3.5742,50,0,-4.2,3.8842,0.2308,0.0856,5.05
79,-4.8049,50,0,-4.2077,3.8601,0.2278,0.0779,5.13
80,-0.0053,1,1,-4.1552,3.8642,0.2375,0.0018,5.13
81,-3.7637,50,0,-4.1503,3.8406,0.2346,0.0914,5.22
82,-0.04,1,1,-4.1002,3.8436,0.2439,0.0015,5.22
83,-3.3882,50,0,-4.0916,3.8212,0.241,0.0728,5.29
84,-3.9434,50,0,-4.0899,3.7984,0.2381,0.0835,5.38
85,-3.082,50,0,-4.078,3.7776,0.2353,0.0943,5.47
86,-0.0378,1,1,-4.031,3.7804,0.2442,0.0019,5.47
87,-6.2436,50,0,-4.0565,3.766,0.2414,0.0774,5.55
88,-4.5064,50,0,-4.0616,3.7449,0.2386,0.0834,5.63
89,-3.8843,50,0,-4.0596,3.7238,0.236,0.0845,5.72
90,-9.6884,50,0,-4.1221,3.7498,0.2333,0.0778,5.8
91,-4.6039,50,0,-4.1274,3.7295,0.2308,0.077,5.87
92,-3.0059,50,0,-4.1152,3.711,0.2283,0.0839,5.96
93,-4.3567,50,0,-4.1178,3.6911,0.2258,0.0832,6.04
94,-5.0598,50,0,-4.1279,3.6726,0.2234,0.0794,6.12
95,-6.5723,50,0,-4.1536,3.6618,0.2211,0.0824,6.2
96,-0.0394,1,1,-4.1107,3.6665,0.2292,0.0015,6.2
97,-4.5405,50,0,-4.1152,3.6478,0.2268,0.078,6.28
98,-0.0393,1,1,-4.0736,3.6522,0.2347,0.0021,6.28
99,-4.6455,50,0,-4.0793,3.6342,0.2323,0.0777,6.36
100,-0.0446,1,1,-4.039,3.6382,0.24,0.0017,6.36
101,-4.4442,50,0,-4.0831,3.616,0.23,0.078,6.44
102,-2.6787,50,0,-4.0668,3.6186,0.23,0.0788,6.52
103,-4.8686,50,0,-4.0612,3.6169,0.23,0.0799,6.6
104,-0.0442,1,1,-4.0236,3.6389,0.24,0.0016,6.6
105,-0.0441,1,1,-3.9695,3.6574,0.25,0.0138,6.61
106,-9.7188,50,0,-4.0127,3.6993,0.25,0.0913,6.71
107,-4.9613,50,0,-4.0112,3.6989,0.25,0.0695,6.78
108,-4.0602,50,0,-4.005,3.6983,0.25,0.0794,6.85
109,-4.3274,50,0,-3.9996,3.6974,0.25,0.079,6.93
110,-5.4992,50,0,-4.0262,3.6985,0.25,0.0781,7.01
111,-5.4887,50,0,-4.0282,3.6992,0.25,0.0821,7.09
112,-1.348,21,1,-3.9867,3.7058,0.26,0.0301,7.12
113,-4.5253,50,0,-4.0317,3.6847,0.25,0.0777,7.2
114,-5.4039,50,0,-4.0451,3.6872,0.25,0.0853,7.29
115,-4.1724,50,0,-4.019,3.677,0.25,0.0791,7.37
116,-0.0396,1,1,-4.0133,3.6827,0.25,0.0017,7.37
117,-2.636,50,0,-3.9954,3.6851,0.25,0.0897,7.46
118,-6.4357,50,0,-4.0593,3.6714,0.24,0.0834,7.54
119,-2.6707,50,0,-4.0724,3.6641,0.23,0.0856,7.63
120,-5.5161,50,0,-4.0608,3.6576,0.23,0.0767,7.7
121,-4.1855,50,0,-4.1023,3.6352,0.22,0.0786,7.78
122,-0.0481,1,1,-4.1023,3.6352,0.22,0.0017,7.78
123,-0.0344,1,1,-4.038,3.6497,0.23,0.0017,7.79
124,-0.0403,1,1,-3.9434,3.6293,0.24,0.0016,7.79
125,-4.6077,50,0,-3.9485,3.6299,0.24,0.0862,7.87
126,-5.9489,50,0,-3.9581,3.6339,0.24,0.0725,7.95
127,-6.0662,50,0,-4.0183,3.6185,0.23,0.0813,8.03
128,-0.0253,1,1,-3.9721,3.6396,0.24,0.0017,8.03
129,-3.4844,50,0,-3.9761,3.6388,0.24,0.0818,8.11
130,-3.4096,50,0,-4.0098,3.6178,0.23,0.0767,8.19
131,-4.1795,50,0,-4.0118,3.6178,0.23,0.8324,9.02
132,-2.6729,50,0,-4.0079,3.6191,0.23,1.1128,10.13
133,-3.8487,50,0,-3.9995,3.6184,0.23,1.1137,11.25
134,-4.1939,50,0,-4.0062,3.6182,0.23,1.124,12.37
135,-0.0282,1,1,-3.9411,3.6306,0.24,0.0227,12.39
136,-5.3801,50,0,-3.955,3.6334,0.24,1.1077,13.5
137,-4.0009,50,0,-3.9947,3.6119,0.23,1.1739,14.67
138,-4.4753,50,0,-3.9979,3.6122,0.23,1.1633,15.84
139,-3.6799,50,0,-4.0344,3.5903,0.22,1.159,17.0
140,-0.0485,1,1,-4.0344,3.5902,0.22,0.0262,17.02
141,-4.2093,50,0,-4.0207,3.5869,0.22,1.1933,18.22
142,-4.7132,50,0,-3.987,3.5643,0.22,1.1951,19.41
143,-6.0163,50,0,-4.0008,3.5695,0.22,1.1691,20.58
144,-4.1011,50,0,-4.0127,3.5678,0.22,1.1564,21.74
145,-2.8366,50,0,-3.9984,3.5696,0.22,1.1413,22.88
146,-14.5597,50,0,-4.1437,3.6985,0.21,1.1382,24.02
147,-0.0185,1,1,-4.0945,3.7203,0.22,0.0213,24.04
148,-4.366,50,0,-4.0949,3.7203,0.22,1.1165,25.15
149,-0.0401,1,1,-4.0295,3.7334,0.23,0.0267,25.18
150,-4.0832,50,0,-3.9902,3.712,0.23,1.1391,26.32
151,-3.9581,50,0,-4.0295,3.6906,0.22,1.1132,27.43
152,-6.3668,50,0,-3.997,3.6553,0.22,1.1252,28.56
153,-6.1192,50,0,-4.0011,3.6575,0.22,1.1409,29.7
154,-9.283,50,0,-4.0937,3.6728,0.21,1.1679,30.87
155,-7.5216,50,0,-4.1226,3.6883,0.21,1.1682,32.04
156,-1.069,20,1,-4.08,3.6987,0.22,0.4625,32.5
157,-5.8491,50,0,-4.083,3.7,0.22,1.175,33.67
158,-0.0408,1,1,-4.0371,3.7213,0.23,0.0227,33.7
159,-8.5932,50,0,-4.0845,3.7488,0.23,1.1355,34.83
160,-2.9438,50,0,-4.0552,3.7461,0.23,1.1718,36.0
161,-3.082,50,0,-4.0857,3.7256,0.22,1.2651,37.27
162,-0.0248,1,1,-4.0562,3.7459,0.23,0.023,37.29
163,-3.5242,50,0,-4.0482,3.7461,0.23,1.1789,38.47
164,-4.6031,50,0,-4.0938,3.7248,0.22,1.1979,39.67
165,-4.4361,50,0,-4.0721,3.7164,0.22,1.1809,40.85
166,-5.089,50,0,-4.0862,3.7176,0.22,1.1859,42.03
167,-5.1629,50,0,-4.1114,3.7163,0.22,1.1816,43.22
168,-0.0068,1,1,-4.0653,3.7382,0.23,0.0241,43.24
169,-6.8094,50,0,-4.1076,3.7451,0.23,1.1926,44.43
170,-5.9612,50,0,-4.0989,3.7398,0.23,1.1591,45.59
171,-4.9494,50,0,-4.1006,3.7401,0.23,1.1835,46.78
172,-9.7518,50,0,-4.1557,3.7822,0.23,1.1766,47.95
173,-3.6364,50,0,-3.8837,2.6669,0.23,1.1729,49.12
174,-5.2047,50,0,-3.8915,2.6696,0.23,1.1583,50.28
175,-4.5806,50,0,-3.9372,2.6419,0.22,1.1582,51.44
176,-6.2603,50,0,-3.9428,2.6462,0.22,1.1664,52.61
177,-0.0153,1,1,-3.889,2.6707,0.23,0.026,52.63
178,-0.0297,1,1,-3.8535,2.698,0.24,0.0242,52.66
179,-5.3668,50,0,-3.8592,2.7006,0.24,1.1638,53.82
180,-4.2359,50,0,-3.9015,2.6729,0.23,1.168,54.99
181,-0.0334,1,1,-3.8642,2.7004,0.24,0.0291,55.02
182,-0.0354,1,1,-3.8641,2.7005,0.24,0.0228,55.04
183,-4.2682,50,0,-3.8729,2.7004,0.24,1.1526,56.19
184,-2.7086,50,0,-3.8606,2.7028,0.24,1.1669,57.36
185,-12.8009,50,0,-3.9578,2.8441,0.24,1.1873,58.55
186,-5.4296,50,0,-4.0117,2.8203,0.23,1.1628,59.71
187,-4.1898,50,0,-3.9911,2.8115,0.23,1.1793,60.89
188,-4.0618,50,0,-3.9867,2.811,0.23,1.1763,62.07
189,-4.6687,50,0,-3.9945,2.8118,0.23,1.2135,63.28
190,-2.548,50,0,-3.9231,2.7564,0.23,1.1787,64.46
191,-5.0689,50,0,-3.9278,2.7579,0.23,1.1843,65.64
192,-4.2714,50,0,-3.9404,2.7566,0.23,1.1999,66.84
193,-3.2885,50,0,-3.9298,2.757,0.23,1.1483,67.99
194,-0.045,1,1,-3.8796,2.7815,0.24,0.0251,68.02
195,-4.2145,50,0,-3.856,2.7685,0.24,1.1835,69.2
196,-4.9776,50,0,-3.9054,2.744,0.23,1.1594,70.36
197,-0.0371,1,1,-3.8604,2.77,0.24,0.0261,70.39
198,-4.2382,50,0,-3.9024,2.7435,0.23,1.2111,71.6
199,-0.0255,1,1,-3.8562,2.7693,0.24,0.0249,71.62
200,-6.5113,50,0,-3.9208,2.755,0.23,1.1951,72.82
201,-3.9231,50,0,-3.9156,2.7545,0.23,1.2271,74.04
202,-0.009,1,1,-3.8889,2.7792,0.24,0.0214,74.07
203,-3.9777,50,0,-3.88,2.7775,0.24,1.1648,75.23
204,-4.3133,50,0,-3.9227,2.7509,0.23,1.1933,76.42
205,-4.1413,50,0,-3.9637,2.7232,0.22,1.2798,77.7
206,-5.6144,50,0,-3.9226,2.6665,0.22,1.108,78.81
207,-0.0296,1,1,-3.8733,2.6923,0.23,0.0247,78.84
208,-4.2345,50,0,-3.8751,2.6925,0.23,1.1486,79.98
209,-0.0485,1,1,-3.8323,2.7188,0.24,0.0287,80.01
210,-3.2205,50,0,-3.8095,2.7143,0.24,1.1637,81.18
211,-0.0418,1,1,-3.755,2.7346,0.25,0.0245,81.2
212,-3.8522,50,0,-3.7801,2.7239,0.24,1.1729,82.37
213,-4.1921,50,0,-3.7767,2.7232,0.24,1.23,83.6
214,-0.0273,1,1,-3.723,2.7435,0.25,0.0251,83.63
215,-4.0816,50,0,-3.7221,2.7434,0.25,1.1905,84.82
216,-3.7817,50,0,-3.7595,2.7183,0.24,1.1578,85.98
217,-4.9722,50,0,-3.7828,2.7186,0.24,1.1983,87.18
218,-0.0489,1,1,-3.719,2.7305,0.25,0.0225,87.2
219,-5.6785,50,0,-3.749,2.7354,0.25,1.1695,88.37
220,-3.5057,50,0,-3.7289,2.7297,0.25,1.1726,89.54
221,-5.0045,50,0,-3.7371,2.7323,0.25,1.1776,90.72
222,-0.0482,1,1,-3.7371,2.7323,0.25,0.0238,90.74
223,-0.0282,1,1,-3.7371,2.7324,0.25,0.0222,90.76
224,-4.2058,50,0,-3.7787,2.7073,0.24,1.2376,92.0
225,-2.5746,50,0,-3.7584,2.7087,0.24,1.2357,93.24
226,-0.0457,1,1,-3.6994,2.7246,0.25,0.0271,93.27
227,-4.8143,50,0,-3.6868,2.7165,0.25,1.2377,94.5
228,-3.4143,50,0,-3.7207,2.6917,0.24,1.2528,95.76
229,-5.1267,50,0,-3.7372,2.6952,0.24,1.2366,96.99
230,-0.0438,1,1,-3.7035,2.72,0.25,0.0245,97.02
231,-0.0462,1,1,-3.6622,2.7437,0.26,0.0232,97.04
232,-2.8039,50,0,-3.6635,2.7433,0.26,1.2435,98.28
233,-5.0296,50,0,-3.6753,2.7466,0.26,1.4175,99.7
234,-4.2811,50,0,-3.6762,2.7468,0.26,1.4241,101.13
235,-4.503,50,0,-3.7209,2.7233,0.25,1.356,102.48
236,-3.7968,50,0,-3.7051,2.7182,0.25,1.4975,103.98
237,-0.0355,1,1,-3.6654,2.7424,0.26,0.0318,104.01
238,-4.2466,50,0,-3.6631,2.7419,0.26,1.2543,105.26
239,-3.0942,50,0,-3.6573,2.7424,0.26,1.1809,106.45
240,-4.3992,50,0,-3.7008,2.7193,0.25,1.1707,107.62
241,-4.6917,50,0,-3.7056,2.7206,0.25,1.1634,108.78
242,-6.4975,50,0,-3.7234,2.733,0.25,1.2381,110.02
243,-4.5618,50,0,-3.7089,2.7246,0.25,1.1485,111.17
244,-5.6203,50,0,-3.7241,2.7309,0.25,1.1645,112.33
245,-0.0478,1,1,-3.6962,2.754,0.26,0.0287,112.36
246,-0.0299,1,1,-3.5509,2.553,0.27,0.0219,112.38
247,-4.7261,50,0,-3.598,2.5307,0.26,1.1788,113.56
248,-0.0345,1,1,-3.5547,2.5542,0.27,0.0244,113.58
249,-4.4693,50,0,-3.599,2.5311,0.26,1.3946,114.98
250,-0.0311,1,1,-3.5584,2.5554,0.27,0.027,115.01
251,-4.0289,50,0,-3.5592,2.5555,0.27,1.2038,116.21
252,-3.7755,50,0,-3.5332,2.54,0.27,1.2336,117.44
253,-4.4342,50,0,-3.5164,2.5283,0.27,1.2122,118.66
254,-0.0328,1,1,-3.4239,2.4845,0.28,0.0292,118.69
255,-4.5968,50,0,-3.3946,2.4531,0.28,1.2029,119.89
256,-2.7732,50,0,-3.4117,2.4428,0.27,1.1595,121.05
257,-5.9583,50,0,-3.4128,2.4439,0.27,1.1257,122.17
258,-3.5667,50,0,-3.448,2.4203,0.26,1.141,123.31
259,-6.3406,50,0,-3.4255,2.3825,0.26,1.1657,124.48
260,-5.5102,50,0,-3.4512,2.391,0.26,1.1477,125.63
261,-5.668,50,0,-3.477,2.4008,0.26,1.1371,126.76
262,-0.0432,1,1,-3.4772,2.4006,0.26,0.0257,126.79
263,-0.0354,1,1,-3.4423,2.4248,0.27,0.0258,126.82
264,-4.106,50,0,-3.4374,2.423,0.27,2.0616,128.88
