episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-5.5484,50,0,-5.5484,0.0,0.0,0.156,0.16
2,-5.0845,50,0,-5.3165,0.2319,0.0,0.1076,0.26
3,-6.0675,50,0,-5.5668,0.4015,0.0,0.1136,0.38
4,-0.0277,1,1,-4.182,2.4236,0.25,0.0058,0.38
5,-3.5337,50,0,-4.0524,2.1832,0.2,0.1275,0.51
6,-2.7803,50,0,-3.8404,2.0486,0.1667,0.1203,0.63
7,-3.5303,50,0,-3.7961,1.8997,0.1429,0.1146,0.75
8,-5.7654,50,0,-4.0422,1.8926,0.125,0.123,0.87
9,-4.1321,50,0,-4.0522,1.7846,0.1111,0.1149,0.98
10,-5.724,50,0,-4.2194,1.7657,0.1,0.1075,1.09
11,-5.2761,50,0,-4.3155,1.7108,0.0909,0.097,1.19
12,-0.0266,1,1,-3.9581,2.0219,0.1667,0.0026,1.19
13,-4.1804,50,0,-3.9752,1.9434,0.1538,0.1277,1.32
14,-0.0362,1,1,-3.6938,2.1298,0.2143,0.0025,1.32
15,-2.745,50,0,-3.6305,2.0712,0.2,0.1151,1.44
16,-3.2495,50,0,-3.6067,2.0075,0.1875,0.187,1.62
17,-4.038,50,0,-3.6321,1.9502,0.1765,0.1245,1.75
18,-5.7009,50,0,-3.747,1.9536,0.1667,0.1305,1.88
19,-3.2332,50,0,-3.72,1.905,0.1579,0.1725,2.05
20,-3.6668,50,0,-3.7173,1.8568,0.15,0.1577,2.21
21,-0.0342,1,1,-3.5419,1.9745,0.1905,0.0063,2.21
22,-9.4826,50,0,-3.812,2.2919,0.1818,0.1277,2.34
23,-0.041,1,1,-3.648,2.3698,0.2174,0.0025,2.34
24,-2.9221,50,0,-3.6178,2.3244,0.2083,0.1085,2.45
25,-4.4235,50,0,-3.65,2.2829,0.2,0.1347,2.59
26,-3.0068,50,0,-3.6253,2.242,0.1923,0.1183,2.71
27,-2.896,50,0,-3.5982,2.2044,0.1852,0.113,2.82
28,-3.6875,50,0,-3.6014,2.1647,0.1786,0.1215,2.94
29,-6.2917,50,0,-3.6942,2.183,0.1724,0.1213,3.06
30,-4.9122,50,0,-3.7348,2.1574,0.1667,0.1201,3.18
31,-3.9952,50,0,-3.7432,2.1228,0.1613,0.1056,3.29
32,-0.0463,1,1,-3.6277,2.1862,0.1875,0.0028,3.29
33,-12.011,50,0,-3.8817,2.5884,0.1818,0.1222,3.41
34,-6.1663,50,0,-3.9489,2.5791,0.1765,0.1037,3.52
35,-5.3599,50,0,-3.9892,2.5528,0.1714,0.1078,3.62
36,-0.0446,1,1,-3.8796,2.5992,0.1944,0.0023,3.63
37,-5.7009,50,0,-3.9289,2.5808,0.1892,0.108,3.73
38,-4.5257,50,0,-3.9446,2.5484,0.1842,0.0941,3.83
39,-4.8126,50,0,-3.9668,2.5193,0.1795,0.1153,3.94
40,-0.0459,1,1,-3.8688,2.5618,0.2,0.0045,3.95
41,-0.0344,1,1,-3.7753,2.5986,0.2195,0.0074,3.96
42,-4.6604,50,0,-3.7964,2.571,0.2143,0.1438,4.1
43,-10.1593,50,0,-3.9443,2.7159,0.2093,0.1269,4.23
44,-3.4083,50,0,-3.9322,2.686,0.2045,0.1131,4.34
45,-0.0347,1,1,-3.8455,2.7174,0.2222,0.0055,4.34
46,-6.6178,50,0,-3.9058,2.718,0.2174,0.1188,4.46
47,-19.0716,50,0,-4.2285,3.4669,0.2128,0.0956,4.56
48,-5.2347,50,0,-4.2494,3.4336,0.2083,0.1203,4.68
49,-0.0469,1,1,-4.1637,3.45,0.2245,0.0053,4.69
50,-0.0129,1,1,-4.0807,3.4644,0.24,0.0023,4.69
51,-5.1311,50,0,-4.1013,3.4334,0.2353,0.1062,4.79
52,-3.9518,50,0,-4.0984,3.4002,0.2308,0.1839,4.98
53,-11.4392,50,0,-4.2369,3.513,0.2264,0.2534,5.23
54,-4.7545,50,0,-4.2465,3.481,0.2222,0.1096,5.34
