episode,reward,length,avg_reward_100,std_reward_100,actor_loss,critic_loss,entropy,episode_time_s,cumulative_time_s
0,7.583594428857433,10,7.583594428857433,0.0,0.0555698499083519,0.9114678502082825,1.3926736116409302,0.02,0.02
1,8.261677652027528,10,7.92263604044248,0.3390416115850474,0.3224431872367859,0.8991532325744629,1.3927373886108398,0.0175,0.04
2,13.26817768044586,16,9.70448325377694,2.535072344712543,-0.182013601064682,0.8260747194290161,1.3927900791168213,0.0244,0.06
3,6.9331725063479395,9,9.01165556691969,2.501994095860873,-0.03696832433342934,0.6491320133209229,1.392783284187317,0.0138,0.08
4,8.123348441979735,11,8.833994141931699,2.2658847923699006,-0.16314949095249176,0.601698637008667,1.3927764892578125,0.017,0.1
5,6.9738525895627745,9,8.523970549870212,2.181536472707067,0.08026643097400665,0.6077046394348145,1.3927576541900635,0.0131,0.11
6,20.73870354662782,20,10.268932406549869,4.727428586809986,0.4463934004306793,1.1004785299301147,1.3927545547485352,0.0283,0.14
7,11.664048064347357,14,10.443321863774557,4.4461095569612965,0.30197587609291077,0.7831425070762634,1.3927879333496094,0.0217,0.16
8,10.493632381030823,16,10.448911921247475,4.191862108756869,-0.028641967102885246,0.6039111018180847,1.3928395509719849,0.0251,0.19
9,7.000050557382748,9,10.104025784861003,4.109142875173935,-0.24219532310962677,0.6457653045654297,1.3928844928741455,0.013,0.2
10,17.112064888108474,19,10.74112024879259,4.405558274837468,-0.4198411703109741,0.8612071871757507,1.3929109573364258,0.0279,0.23
11,10.115529346396528,13,10.68898767359292,4.221543271870244,-0.29456257820129395,0.7944384217262268,1.392910122871399,0.0163,0.24
12,7.402977962650253,10,10.436217695828098,4.149368685754077,-0.05204031988978386,1.0870511531829834,1.3928898572921753,0.0144,0.26
13,8.500306763264042,10,10.297938343502095,4.02939592249455,0.12371423840522766,1.2083847522735596,1.392870306968689,0.0139,0.27
14,5.3575326227433555,9,9.968577962118179,4.083175853640931,-0.1788540780544281,0.9863041639328003,1.3928614854812622,0.0139,0.29
15,11.037265457992167,14,10.035370930610302,3.961972267144411,-0.2641250491142273,1.2475910186767578,1.3928433656692505,0.0188,0.31
16,7.740801200710553,11,9.9003962406162,3.8814106694023134,-0.2690202593803406,1.1686296463012695,1.3928147554397583,0.0146,0.32
17,5.587727043085311,8,9.66080350742004,3.899264608332336,0.3261376619338989,1.5749552249908447,1.3927754163742065,0.0115,0.33
18,6.4386136850871605,8,9.49121456940252,3.8628651777320444,-0.10788094252347946,2.088358163833618,1.3927544355392456,0.0142,0.35
19,5.740045294777113,8,9.303656105671248,3.85279461966188,0.1344110071659088,2.175652503967285,1.392735481262207,0.0124,0.36
20,3.4274881295786934,8,9.023838583000176,3.9627168586793786,-0.08532507717609406,2.892209529876709,1.392722249031067,0.0133,0.37
21,7.170852813285022,10,8.939611957104033,3.8907998036559803,0.20917977392673492,2.2469494342803955,1.3927080631256104,0.0185,0.39
22,10.29844347549001,12,8.998691588338206,3.815353720550866,-0.40980494022369385,1.616132140159607,1.3927117586135864,0.0212,0.41
23,7.031516938968715,10,8.916725977947808,3.7556501197497556,0.10062731802463531,2.6817920207977295,1.392696738243103,0.0217,0.44
24,4.116234043865319,7,8.724706300584508,3.7981085904658176,0.3272049129009247,3.097426176071167,1.3926905393600464,0.0128,0.45
25,9.1287197983721,14,8.740245281268646,3.7251622090273946,0.14181727170944214,2.556128978729248,1.3927009105682373,0.0215,0.47
26,11.010869748085272,17,8.824342483743337,3.6805920059066626,-0.13605931401252747,1.9641395807266235,1.392717719078064,0.0263,0.5
