episode,reward,length,avg_reward_100,std_reward_100,actor_loss,critic_loss,entropy,episode_time_s,cumulative_time_s
0,3.766188930079995,17,3.766188930079995,0.0,0.44534459710121155,0.41792213916778564,1.3926736116409302,0.021,0.02
1,4.693419576464019,10,4.2298042532720075,0.46361532319201215,-0.11180367320775986,0.6191682815551758,1.3928653001785278,0.012,0.03
2,1.390349865007914,17,3.2833194571839766,1.3910282948418264,-0.010203089565038681,0.7264134287834167,1.3929224014282227,0.0212,0.05
3,9.501953180316516,10,4.837977887967112,2.9499336089144714,0.2530786991119385,1.1599814891815186,1.392928957939148,0.012,0.07
4,4.953480565595572,19,4.861078423492804,2.6389052989011983,-0.0034257732331752777,0.656706690788269,1.3929535150527954,0.0206,0.09
5,4.406906351969089,7,4.785383078238851,2.414918888963546,-0.24088604748249054,0.5673007369041443,1.392980694770813,0.009,0.1
6,4.370865673749476,8,4.726166306168941,2.2404807436160885,-0.12635089457035065,0.5787472128868103,1.3929988145828247,0.0099,0.11
7,5.458369055201344,10,4.817691649797991,2.109721056653011,0.6485165953636169,0.737189531326294,1.3929997682571411,0.0118,0.12
8,5.109533183355074,10,4.850118486859889,1.9911775264884288,-0.07065317779779434,0.5677424073219299,1.3930304050445557,0.0118,0.13
9,5.631854767596936,14,4.928292114933594,1.9034991969867423,0.13611705601215363,0.5136403441429138,1.3930637836456299,0.0157,0.15
10,9.24858259354183,11,5.321045794807071,2.199198030796454,0.38775208592414856,1.2746822834014893,1.3931063413619995,0.0132,0.16
11,1.3885236636657523,16,4.993335617211961,2.369549791120179,-0.2282790243625641,0.4803544282913208,1.3931561708450317,0.0207,0.18
12,10.37270095253298,13,5.407132950698193,2.690278780670273,-0.5260630249977112,1.1984974145889282,1.3931771516799927,0.0159,0.2
13,49.79838866556946,32,8.577936930331855,11.722738626251921,-0.4585420489311218,2.9099817276000977,1.3931734561920166,0.0379,0.24
14,5.529758272969582,9,8.374725019841037,11.350736773474464,0.40660202503204346,1.7059025764465332,1.3931587934494019,0.0108,0.25
15,4.172414792629421,8,8.11208063064031,11.037277963659823,0.15029212832450867,0.9874335527420044,1.3931643962860107,0.01,0.26
16,4.441886062683508,11,7.896186832525205,10.742499526961382,-0.2770426273345947,1.1660304069519043,1.3931580781936646,0.0134,0.27
17,6.440301130754482,9,7.815304293537943,10.445158051353532,0.12039293348789215,1.8719372749328613,1.3931431770324707,0.0113,0.29
18,5.640222124016456,9,7.700826284615759,10.178165133698192,0.4840979278087616,1.319965124130249,1.393139362335205,0.011,0.3
19,6.451921106687799,10,7.63838102571936,9.924181679675264,-0.19292953610420227,1.5145313739776611,1.3931570053100586,0.0119,0.32
20,0.7819062556673829,13,7.311882227145457,9.79445969661646,-0.2546578645706177,0.9295781254768372,1.3931620121002197,0.0146,0.33
21,10.604305894228649,11,7.461537848376511,9.593813299147635,-0.21047374606132507,1.5967656373977661,1.3931583166122437,0.0144,0.35
22,0.20987656215684702,14,7.1462482272365255,9.4987591809492,-0.21434104442596436,0.750307559967041,1.3931503295898438,0.0164,0.36
23,4.181169170073743,12,7.02270326652141,9.317620338919529,-0.14142166078090668,0.6993177533149719,1.3931351900100708,0.0142,0.38
24,0.25170247986436434,15,6.751863235055128,9.225282140536883,-0.11845459043979645,0.8911506533622742,1.3931173086166382,0.0175,0.4
25,4.893438030392613,10,6.680385342568109,9.05319041136895,-0.030414177104830742,1.5057586431503296,1.393096923828125,0.0135,0.41
26,10.267967598376057,16,6.813258759449885,8.909754796406897,0.2977483570575714,2.044158697128296,1.393078088760376,0.0207,0.43
27,5.827491479039161,8,6.7780527851495025,8.75111779921402,0.3682009279727936,2.3659632205963135,1.3930656909942627,0.0118,0.44
28,-0.8027464270862671,16,6.516645915762061,8.709457008900868,-0.14371070265769958,0.5359126925468445,1.3930690288543701,0.0178,0.46
29,0.9410521669909976,17,6.330792790803026,8.621360303410178,0.07634191960096359,0.3153894245624542,1.3930692672729492,0.0198,0.48
30,3.932950890791384,7,6.2534430520929725,8.491741296732359,0.04888392239809036,1.7535918951034546,1.3930749893188477,0.0097,0.49
31,6.457403772704212,9,6.259816824612074,8.358080068386368,-0.1047465056180954,1.7708969116210938,1.3930816650390625,0.0112,0.5
32,3.9655801399997297,8,6.190294500835942,8.239858962909743,-1.113206386566162,1.0443789958953857,1.3930871486663818,0.0101,0.51
33,4.247191253972197,9,6.13314440533995,8.124416179453993,0.35295480489730835,1.016530990600586,1.393070936203003,0.011,0.52
34,4.9933781891462194,9,6.100579656305843,8.00976306331199,-0.15610727667808533,1.1957695484161377,1.3930697441101074,0.0108,0.54
35,5.025630451682895,9,6.070719956177428,7.899708274669097,-0.21882016956806183,1.6220086812973022,1.3930644989013672,0.0109,0.55
36,4.646705570991268,7,6.0322330809021265,7.795645147445061,-0.549375593662262,1.2434070110321045,1.393056035041809,0.0089,0.56
37,5.988360023902253,8,6.031078526770551,7.692390216092254,-0.05117687210440636,1.724940299987793,1.393035650253296,0.0098,0.57
38,5.779763045303124,8,6.024634540066258,7.593233315210384,-0.6233165264129639,1.564678430557251,1.3930151462554932,0.0117,0.58
39,4.53369237326177,9,5.987360985896145,7.501329600178807,0.4454669952392578,0.9481704235076904,1.3929845094680786,0.0121,0.59
40,6.465014298099799,9,5.9990110666816,7.409651614218518,0.39442679286003113,1.7431412935256958,1.3929784297943115,0.0108,0.6
41,5.323341390145539,7,5.982923693430742,7.321634735769713,-0.10769952833652496,1.982252836227417,1.392984390258789,0.0089,0.61
42,3.4155723235927216,7,5.923217847620555,7.246336822340002,-0.24788659811019897,0.5345190167427063,1.3929860591888428,0.0102,0.62
43,6.287811523646289,9,5.931504067530231,7.163724896349864,0.05989328771829605,0.6902270913124084,1.3929808139801025,0.0136,0.64
44,5.000727888693394,7,5.910820152444968,7.085009347418423,0.2831006646156311,0.7954622507095337,1.3929789066314697,0.0114,0.65
